paper,title,room,category
5407,Isotopic Effects in Nuclear Reactions at Relativistic Energies,Room 11,nucl-ex
5408,"Bounds for the covariance of functions of infinite variance stable
  random variables with applications to central limit theorems and
  wavelet-based estimation",Room 3,math.ST
5409,"One-Shot Speaker Identification for a Service Robot using a CNN-based
  Generic Verifier",Room 12,eess.AS
5410,"Long-Range Response to Transmission Line Disturbances in DC Electricity
  Grids",Room 10,nlin.AO
5411,GPU System Calls,Room 10,cs.OS
5412,"Turnpike Property and Convergence Rate for an Investment and Consumption
  Model",Room 3,q-fin.PM
5413,"Reviewing methods and assumptions for high-resolution large-scale
  onshore wind energy potential assessments",Room 4,econ.GN
5414,"On the scaling of the distribution of daily price fluctuations in
  Mexican financial market index",Room 3,q-fin.ST
5415,From small markets to big markets,Room 3,q-fin.PM
5416,Classical and Quantum Chaos in the Diamond Shaped Billiard,Room 5,nlin.CD
5417,"The green transition of firms: The role of evolutionary competition,
  adjustment costs, transition risk, and green technology progress",Room 3,econ.TH
5418,"Small area estimation of general parameters with application to poverty
  indicators: A hierarchical Bayes approach",Room 4,stat.AP
5419,Lattice polytopes of degree 2,Room 7,math.CO
5420,Global Testing in Multivariate Regression Discontinuity Designs,Room 1,econ.EM
5421,"Memory effects, transient growth, and wave breakup in a model of paced
  atrium",Room 6,q-bio.TO
5422,Exact Statistics of Chaotic Dynamical Systems,Room 5,nlin.CD
5423,"Combinatorial fiber bundles and fragmentation of a fiberwise
  PL-homeomorphism",Room 7,math.GT
5424,Isomorphismusvermutungen und 3-Mannigfaltigkeiten,Room 7,math.KT
5425,How to detect level crossings without looking at the spectrum,Room 5,physics.atom-ph
5426,"On Fractional Eulerian Numbers and Equivalence of Maps with Long Term
  Power-Law Memory (Integral Volterra Equations of the Second Kind) to
  Gr$\ddot{u}$nvald-Letnikov Fractional Difference (Differential) Equations",Room 5,nlin.CD
5427,"Adsorption and grafting on colloidal interfaces studied by scattering
  techniques",Room 11,cond-mat.soft
5428,Einstein and early 20th Century avant-garde art: points of contact?,Room 11,physics.hist-ph
5429,"Spontaneous coordinated activity in cultured networks: Analysis of
  multiple ignition sites, primary circuits, burst phase delay distributions
  and functional structures",Room 6,q-bio.NC
5430,Searching for Cost Optimized Interstellar Beacons,Room 11,physics.pop-ph
5431,Quality Classifiers for Open Source Software Repositories,Room 12,cs.SE
5432,"Identified particle measurements at large transverse momenta from p+p to
  Au+Au collisions at RHIC",Room 11,nucl-ex
5433,"Integration of a Balanced Virtual Manikin in a Virtual Reality Platform
  aimed at Virtual Prototyping",Room 12,cs.RO
5434,"Perfect simulation of spatial point processes using dominated coupling
  from the past with application to a multiscale area-interaction point process",Room 5,stat.ME
5435,MRI denoising using Deep Learning and Non-local averaging,Room 2,eess.IV
5436,Generic Oval Billiards,Room 5,math.DS
5437,"Online-concordance ""Perekhresni stezhky"" (""The Cross-Paths""), a novel by
  Ivan Franko",Room 7,cs.CL
5438,Introduction to the Galois Theory of Linear Differential Equations,Room 5,math.CA
5439,New Reconfigurable L-Band Digital Aeronautical Communication System,Room 10,eess.SP
5440,"The Complexity of Synaptic Transmission Revealed by a Multiscale
  Analysis Approach From The Molecular to The Cellular Level",Room 6,q-bio.NC
5441,Wishbone bus Architecture - A Survey and Comparison,Room 10,cs.AR
5442,"Reduction of continuous symmetries of chaotic flows by the method of
  slices",Room 5,nlin.CD
5443,Maximizing PageRank via outlinks,Room 1,cs.IR
5444,"A 2D quantum antiferromagnet with a four-fold degenerate
  valence-bond-solid ground state",Room 8,quant-ph
5445,"Nonparametric estimation of mark's distribution of an exponential
  Shot-noise process",Room 1,stat.AP
5446,"Computationally efficient algorithms for statistical image processing.
  Implementation in R",Room 2,stat.CO
5447,A measure of skewness for testing departures from normality,Room 1,stat.CO
5448,"Power Control and Frequency Band Selection Policies for Underlay MIMO
  Cognitive Radio",Room 10,eess.SP
5449,Interactive Submodular Set Cover,Room 1,cs.LG
5450,Topological network alignment uncovers biological function and phylogeny,Room 6,q-bio.MN
5451,Improving multivariate Horner schemes with Monte Carlo tree search,Room 10,cs.SC
5452,"Adaptive Backstepping Chaos Synchronization of Fractional order Coullet
  Systems with Mismatched Parameters",Room 5,nlin.CD
5453,"Optimal Risk-Averse Timing of an Asset Sale: Trending vs Mean-Reverting
  Price Dynamics",Room 3,q-fin.MF
5454,Semidiscrete quantum droplets and vortices,Room 8,nlin.PS
5455,Dynamic Games with Almost Perfect Information,Room 4,q-fin.EC
5456,Entropy and Uncertainty Analysis in Financial Markets,Room 3,q-fin.ST
5457,Optimal Trading with a Trailing Stop,Room 3,q-fin.MF
5458,Surfaces from Circles,Room 5,math.DG
5459,"Quantifying cancer epithelial-mesenchymal plasticity and its association
  with stemness and immune response",Room 6,q-bio.CB
5460,"Analytical and simulation studies of pedestrian flow at a crossing with
  random update rule",Room 10,nlin.CG
5461,"Data hiding in complex-amplitude modulation using a digital micromirror
  device",Room 2,eess.IV
5462,"Quaternionic Analysis, Representation Theory and Physics",Room 5,math.RT
5463,"Yield scaling, size hierarchy and fluctuations of observables in
  fragmentation of excited heavy nuclei",Room 11,nucl-ex
5464,Kalman Filtering with Equality and Inequality State Constraints,Room 1,math.OC
5465,Prices and Asymptotics for Discrete Variance Swaps,Room 3,q-fin.PR
5466,"Progressive Mauve: Multiple alignment of genomes with gene flux and
  rearrangement",Room 6,q-bio.GN
5467,"Dynamic and Context-Dependent Stock Price Prediction Using Attention
  Modules and News Sentiment",Room 3,q-fin.CP
5468,A Brief Review on Models for Performance Evaluation in DSS Architecture,Room 10,cs.PF
5469,Thirring Model with Jump Defect,Room 5,nlin.SI
5470,"Optimizing Neural Networks for Bermudan Option Pricing: Convergence
  Acceleration, Future Exposure Evaluation and Interpolation in Counterparty
  Credit Risk",Room 3,q-fin.CP
5471,Frames of subspaces and operators,Room 5,math.FA
5472,"Fault Diagnosis and Bad Data Detection of Power Transmission Network - A
  Time Domain Approach",Room 10,eess.SP
5473,"Distributed Stochastic Approximation: Weak Convergence and Network
  Design",Room 10,stat.AP
5474,"Dynamical criticality in the collective activity of a population of
  retinal neurons",Room 6,q-bio.NC
5475,Cryptanalysis of SDES via evolutionary computation techniques,Room 10,cs.CR
5476,"Testing for Restricted Stochastic Dominance under Survey Nonresponse
  with Panel Data: Theory and an Evaluation of Poverty in Australia",Room 4,econ.EM
5477,"The extension of Buckley-Feuring solutions for non-polynomial fuzzy
  partial differential equations",Room 5,math.OC
5478,"Proceedings Ninth International Workshop on Reduction Strategies in
  Rewriting and Programming",Room 12,cs.PL
5479,"Simulating Genomes and Populations in the Mutation Space: An example
  with the evolution of HIV drug resistance",Room 6,q-bio.PE
5480,Support theorems for the Radon transform and Cram\'er-Wold theorems,Room 7,math.GM
5481,"Life is not on the edge of chaos but in a half-chaos of not fully random
  systems. Definition and simulations of the half-chaos in complex networks",Room 6,nlin.AO
5482,"Emergent Network Structure, evolvable Robustness and non-linear Effects
  of Point Mutations in an Artificial Genome Model",Room 6,q-bio.MN
5483,"Discrete Map with Memory from Fractional Differential Equation of
  Arbitrary Positive Order",Room 5,nlin.CD
5484,"Secure Control in Partially Observable Environments to Satisfy LTL
  Specifications",Room 4,eess.SY
5485,Solubilization of Proteins in 2DE: An Outline,Room 8,q-bio.GN
5486,A Technical Report On Grid Benchmarking using ATLAS V.O,Room 10,cs.PF
5487,"Large gender and age differences in hand disinfection behavior during
  the COVID-19 pandemic: Field data from Swiss retail stores",Room 4,econ.GN
5488,"Implementation of Artifact Detection in Critical Care: A Methodological
  Review",Room 2,eess.SP
5489,"PhyloPythiaS+: A self-training method for the rapid reconstruction of
  low-ranking taxonomic bins from metagenomes",Room 2,q-bio.QM
5490,"A superfluid helium converter for accumulation and extraction of
  ultracold neutrons",Room 11,nucl-ex
5491,"Some aspects of infinite range models of spin glasses: theory and
  numerical simulations",Room 8,cond-mat.dis-nn
5492,"Grid-Connected Photovoltaic System for Active and Reactive Power
  Management",Room 10,physics.app-ph
5493,Investing and Stopping,Room 3,q-fin.PM
5494,"Counting statistics in multiple path geometries and the fluctuations of
  the integrated current in a quantum stirring device",Room 8,quant-ph
5495,Using SVM to Estimate and Predict Binary Choice Models,Room 1,econ.EM
5496,"""Iff"" is not expressible in independence-friendly logic",Room 7,math.LO
5497,"Adversarial Pulmonary Pathology Translation for Pairwise Chest X-ray
  Data Augmentation",Room 2,eess.IV
5498,Computing the Least Fixed Point of Positive Polynomial Systems,Room 5,cs.NA
5499,Strategies for the Design of a Slide-o-Cam Transmission,Room 12,cs.RO
5500,"The Weibull - Log Weibull Distribution for Interoccurrence Times of
  Earthquakes",Room 1,physics.geo-ph
5501,Nonlinear PDEs and Scale Dependence,Room 12,math.AP
5502,Comparing latent inequality with ordinal data,Room 1,econ.EM
5503,"Criticality in conserved dynamical systems: Experimental observation vs.
  exact properties",Room 5,nlin.AO
5504,Evaluation to Chinese marine economy in the coastal areas,Room 4,econ.GN
5505,"PETRELS: Parallel Subspace Estimation and Tracking by Recursive Least
  Squares from Partial Observations",Room 2,stat.ME
5506,A Problem in Last-Passage Percolation,Room 5,math.PR
5507,"Individual Updating of Subjective Probability of Homicide Victimization:
  a ""Natural Experiment'' on Risk Communication",Room 1,econ.EM
5508,"Cooperative Energy Efficient Power Allocation Algorithm for downlink
  massive MIMO",Room 10,eess.SP
5509,When to sell an indivisible object: Optimal timing with Markovian buyers,Room 4,econ.TH
5510,"Efficient Detectors for MIMO-OFDM Systems under Spatial Correlation
  Antenna Arrays",Room 11,eess.SP
5511,Deep Hedging under Rough Volatility,Room 3,q-fin.CP
5512,Statistical and Clinical Aspects of Hospital Outcomes Profiling,Room 1,stat.ME
5513,What aggregation rules can be classified as logical concepts?,Room 7,econ.TH
5514,Tukey's transformational ladder for portfolio management,Room 3,q-fin.PM
5515,"Rawls' Fairness, Income Distribution and Alarming Level of Gini
  Coefficient",Room 4,q-fin.GN
5516,"Standing on the Shoulders of Machine Learning: Can We Improve Hypothesis
  Testing?",Room 2,econ.EM
5517,Highway Hull Revisited,Room 4,cs.CG
5518,HEP data analysis using jHepWork and Java,Room 11,cs.CE
5519,Collective motion in quantum diffusive environment,Room 8,nucl-th
5520,"A Customized System to Assess Foot Plantar Pressure: A Case Study on
  Calloused and Normal Feet",Room 1,eess.SP
5521,PAC-Bayesian Bounds for Randomized Empirical Risk Minimizers,Room 1,stat.ML
5522,The Three Hat Problem,Room 4,math.HO
5523,Multi-scale Mining of fMRI data with Hierarchical Structured Sparsity,Room 1,stat.ML
5524,On the algebraic classification of K-local spectra,Room 7,math.AT
5525,Technical report : Risk-neutral density recovery via spectral analysis,Room 3,q-fin.CP
5526,"A mutual information-based in vivo monitoring of adaptive response to
  targeted therapies in melanoma",Room 6,q-bio.TO
5527,"The interplay between tissue healing and bone remodeling around
  immediately loaded tooth replacement implants",Room 11,q-bio.TO
5528,"Distributed Small-Signal Stability Conditions for Inverter-Based
  Unbalanced Microgrids",Room 10,eess.SY
5529,The eigenvalues of the Laplacian on domains with small slits,Room 5,math.SP
5530,On Symplectic Optimization,Room 1,stat.CO
5531,Multisymplectic and polysymplectic structures on fiber bundles,Room 7,math.DG
5532,Nanosilica mops up host lipids and fights baculovirus: a B. mori model,Room 6,q-bio.BM
5533,"Sequential Bayesian inference for static parameters in dynamic state
  space models",Room 3,stat.CO
5534,A New Vectorization Technique for Expression Templates in C++,Room 10,cs.MS
5535,"Identification of Utility-Scale Renewable Energy Penetration Threshold
  in a Dynamic Setting",Room 10,eess.SY
5536,"Numerical Solution of Differential Equations by the Parker-Sochacki
  Method",Room 5,physics.pop-ph
5537,On minimal non-potentially closed subsets of the plane,Room 7,math.LO
5538,"Energy localization on q-tori, long term stability and the
  interpretation of FPU recurrences",Room 8,nlin.CD
5539,Anytime Planning: A Motion Planner for Dynamic Environment,Room 10,eess.SY
5540,"Truth and memory: Linking instantaneous and retrospective self-reported
  cigarette consumption",Room 1,stat.AP
5541,Dynamics near a minimal-mass soliton for a Korteweg-de Vries equation,Room 8,nlin.PS
5542,Cognitive States of Potentiality in Art-making,Room 11,q-bio.NC
5543,Investor Experiences and Financial Market Dynamics,Room 3,q-fin.EC
5544,Nonlinear response of a linear chain to weak driving,Room 5,nlin.PS
5545,"Theory for superconductivity in a magnetic field: A local approximation
  approach",Room 8,cond-mat.supr-con
5546,"Interaction Ruling Animal Collective Behaviour Depends on Topological
  rather than Metric Distance: Evidence from a Field Study",Room 6,q-bio.PE
5547,Distilling the Knowledge in a Neural Network,Room 2,stat.ML
5548,High Performance Solutions for Big-data GWAS,Room 2,q-bio.GN
5549,Conditional Model Selection in Mixed-Effects Models with cAIC4,Room 1,stat.CO
5550,Status of the ILC Main Linac BPM R&D,Room 11,physics.acc-ph
5551,Estimation of Viterbi path in Bayesian hidden Markov models,Room 1,stat.CO
5552,Tight Bounds and Faster Algorithms for Directed Max-Leaf Problems,Room 10,cs.DS
5553,Search for photons at the Pierre Auger Observatory,Room 11,astro-ph.HE
5554,Abstract homotopical methods for theoretical computer science,Room 7,math.AT
5555,Hypergroups with Unique Alpha-Means,Room 5,math.GR
5556,"Interpretable Aircraft Engine Diagnostic via Expert Indicator
  Aggregation",Room 2,stat.ML
5557,"Unsupervised Frequency Tracking beyond the Nyquist Limit using Markov
  Chains",Room 2,stat.AP
5558,"High-frequency Density Nowcasts of U.S. State-Level Carbon Dioxide
  Emissions",Room 4,econ.EM
5559,Virtual reality: A human centered tool for improving Manufacturing,Room 12,cs.RO
5560,Power-law scaling in protein synthesis of a stochastic regulon,Room 6,q-bio.CB
5561,Design of Sampling Set for Bandlimited Graph Signal Estimation,Room 2,eess.SP
5562,"Simulating Organogenesis in COMSOL: Parameter Optimization for PDE-based
  models",Room 6,q-bio.QM
5563,"Origin of the anomalous Slater-Pauling curve in cobalt-manganese alloy
  clusters",Room 8,physics.atm-clus
5564,Visualization in Connectomics,Room 2,cs.GR
5565,"Detecting Time-dependent Structure in Network Data via a New Class of
  Latent Process Models",Room 2,stat.ME
5566,"Gravity-induced electric polarization of matter and planetary magnetic
  fields",Room 7,physics.geo-ph
5567,"Development and Evaluation of Video Recordings for the OLSA Matrix
  Sentence Test",Room 2,eess.AS
5568,"Closed-Loop Two-Stage Stochastic Optimization of Offshore Wind Farm
  Collection System",Room 10,eess.SY
5569,"Stabilisation of dynamics of oscillatory systems by non-autonomous
  perturbation",Room 8,nlin.AO
5570,"Short desynchronization episodes prevail in synchronous dynamics of
  human brain rhythms",Room 12,q-bio.NC
5571,Geo-Somatic Resonance Theory: A Vibrational Framework for Sleep as Planetary Entrainment,Room 6,q-bio.OT
5572,Bound of dissipation on a plane Couette dynamo,Room 8,physics.flu-dyn
5573,"Constrained nonlinear output regulation using model predictive control
  -- extended version",Room 10,eess.SY
5574,Refinement Equations and Spline Functions,Room 7,math.NA
5575,Managing Varying Worst Case Execution Times on DVS Platforms,Room 10,cs.OS
5576,"Capturing the power options smile by an additive two-factor model for
  overlapping futures prices",Room 4,q-fin.MF
5577,"An integrated approach to simulating the vulnerable atherosclerotic
  plaque",Room 2,q-bio.TO
5578,Weak quantization of Poisson structures,Room 7,math.QA
5579,Cross-Sectional Dynamics Under Network Structure: Theory and Macroeconomic Applications,Room 3,econ.EM
5580,"A Note on ""A Family of Maximum Entropy Densities Matching Call Option
  Prices""",Room 3,q-fin.PR
5581,"The use of dynamic distance potential fields for pedestrian flow around
  corners",Room 1,cs.MA
5582,Cohomology of the minimal nilpotent orbit,Room 7,math.RT
5583,"Exact Solutions and Flow--Density Relations for a Cellular Automaton
  Variant of the Optimal Velocity Model with the Slow-to-Start Effect",Room 10,nlin.CG
5584,A Collaborative Kalman Filter for Time-Evolving Dyadic Processes,Room 1,stat.ML
5585,"DNA sequence correlations shape nonspecific transcription factor-DNA
  binding affinity",Room 6,q-bio.BM
5586,"A Novel Sequence-Based Antigenic Distance Measure for H1N1, with
  Application to Vaccine Effectiveness and the Selection of Vaccine Strains",Room 6,q-bio.PE
5587,On the Profitability of Optimal Mean Reversion Trading Strategies,Room 3,q-fin.PM
5588,"Algebraic cycles on the relative symmetric powers and on the relative
  Jacobian of a family of curves. I",Room 7,math.AG
5589,Random Subspace Learning Approach to High-Dimensional Outliers Detection,Room 2,stat.ML
5590,"Self-organizing, two-temperature Ising model describing human
  segregation",Room 5,physics.soc-ph
5591,"Asymptotic Implied Volatility at the Second Order with Application to
  the SABR Model",Room 3,q-fin.PR
5592,"Cover's universal portfolio, stochastic portfolio theory and the
  numeraire portfolio",Room 3,q-fin.MF
5593,"The three-component defocusing nonlinear Schrodinger equation with
  nonzero boundary conditions",Room 5,nlin.SI
5594,A generalised multicomponent system of Camassa-Holm-Novikov equations,Room 5,nlin.SI
5595,"An optional decomposition of $\mathscr{Y}^{g,\xi}-submartingales$ and
  applications to the hedging of American options in incomplete markets",Room 4,q-fin.MF
5596,"Thermodynamic pathways to genome spatial organization in the cell
  nucleus",Room 6,q-bio.GN
5597,"Cross-validation of matching correlation analysis by resampling matching
  weights",Room 1,stat.ML
5598,"Sequential sampling models in computational psychiatry: Bayesian
  parameter estimation, model selection and classification",Room 1,q-bio.NC
5599,Sector-Based Factor Models for Asset Returns,Room 3,q-fin.ST
5600,"Good intentions, unintended consequences: exploring forecasting harms",Room 4,stat.OT
5601,"Continuous-time Duality for Super-replication with Transient Price
  Impact",Room 4,q-fin.PR
5602,"The Cost of Climate Action: Experimental Evidence on the Impact of
  Climate Information on Charitable Donations to Climate Activism",Room 4,econ.GN
5603,Effective and simple VWAP option pricing model,Room 3,q-fin.PR
5604,3D Protein Structure Predicted from Sequence,Room 6,q-bio.BM
5605,Generic Regular Decompositions for Generic Zero-Dimensional Systems,Room 5,cs.SC
5606,UNISWAP: Impermanent Loss and Risk Profile of a Liquidity Provider,Room 3,q-fin.TR
5607,Spin models as microfoundation of macroscopic financial market models,Room 4,q-fin.PR
5608,A Log-space Algorithm for Canonization of Planar Graphs,Room 7,cs.CC
5609,Modelling rankings in R: the PlackettLuce package,Room 1,stat.CO
5610,"Sufficient conditions for the genericity of feedback stabilisability of
  switching systems via Lie-algebraic solvability",Room 10,cs.SY
5611,"A Dynamic Bi-orthogonality based Approach for Uncertainty Quantification
  of Stochastic Systems with Discontinuities",Room 5,stat.ME
5612,"Meeting of Mobile Nodes Based on RSS Measurements in Wireless Ad Hoc
  Networks",Room 10,eess.SP
5613,"Martingale Schr\""odinger Bridges and Optimal Semistatic Portfolios",Room 4,q-fin.MF
5614,"Confidence Interval for the Mean of a Bounded Random Variable and Its
  Applications in Point Estimation",Room 1,math.ST
5615,"Adaptive Scan for Atomic Force Microscopy Based on Online Optimisation:
  Theory and Experiment",Room 2,eess.SP
5616,"Sur la d\'efinissabilit\'e existentielle de la non-nullit\'e dans les
  anneaux",Room 7,math.AC
5617,"Brief Lecture Notes on Self-Referential Mathematics, and Beyond",Room 5,math.GM
5618,"Optimal Dynamic Futures Portfolios Under a Multiscale Central Tendency
  Ornstein-Uhlenbeck Model",Room 3,q-fin.MF
5619,"Syntactic Confluence Criteria for Positive/Negative-Conditional Term
  Rewriting Systems",Room 12,cs.AI
5620,"The Impact of Channel Feedback on Opportunistic Relay Selection for
  Hybrid-ARQ in Wireless Networks",Room 10,cs.IT
5621,"Spectral density of phase noise inter-laboratory comparison final
  results",Room 11,physics.ins-det
5622,Functional Partial Linear Model,Room 1,stat.ME
5623,"Structure and Thermodynamics of Molecular Hydration via Grid
  Inhomogeneous Solvation Theory",Room 6,q-bio.BM
5624,Graphical Models for Inference Under Outcome-Dependent Sampling,Room 1,stat.ME
5625,"Hilbert Function and Betti Numbers of Algebras with Lefschetz Property
  of Order m",Room 7,math.AC
5626,Higher dimensional algebras via colored PROPs,Room 7,math.CT
5627,"Simultaneous sparse model selection and coefficient estimation for
  heavy-tailed autoregressive processes",Room 1,stat.ME
5628,"Investigating accuracy of pitch-accent annotations in neural
  network-based speech synthesis and denoising effects",Room 12,eess.AS
5629,"A thermodynamic paradigm for solution demixing inspired by nuclear
  transport in living cells",Room 6,q-bio.SC
5630,Time-dependent spectral renormalization method,Room 5,nlin.PS
5631,Maximal width of the separatrix chaotic layer,Room 5,nlin.CD
5632,"Prediction of allosteric sites and mediating interactions through
  bond-to-bond propensities",Room 6,q-bio.BM
5633,"A community-based transcriptomics classification and nomenclature of
  neocortical cell types",Room 2,q-bio.GN
5634,"Symmetric and asymmetric optical multi-peak solitons on a continuous
  wave background in the femtosecond regime",Room 8,nlin.PS
5635,"Multiscaling in Hall-Magnetohydrodynamic Turbulence: Insights from a
  Shell Model",Room 11,nlin.CD
5636,Which Are You In A Photo?,Room 2,cs.SD
5637,A Penny Saved is a Penny Earned: Less Expensive Zero Coupon Bonds,Room 3,q-fin.PR
5638,Software for the Spectral Analysis of Hot Stars,Room 11,astro-ph.SR
5639,"An Enhanced Multi-Pager Environment Support for Second Generation
  Microkernels",Room 10,cs.OS
5640,"A comparison of formulations and solution methods for the Minimum-Envy
  Location Problem. Additional results",Room 4,math.OC
5641,Exponential growth rates in a typed branching diffusion,Room 8,math.PR
5642,"Distributed Control of Charging for Electric Vehicle Fleets under
  Dynamic Transformer Ratings",Room 10,eess.SY
5643,"Emergence of ultradiscrete states due to phase lock caused by
  saddle-node bifurcation in discrete limit cycles",Room 8,nlin.AO
5644,"High-precision measurement of hyperfine structure in the $D$ lines of
  alkali atoms",Room 8,physics.atom-ph
5645,"Irreducible three-loop contributions to the pressure in Yang-Mills
  thermodynamics",Room 7,hep-th
5646,"Macroeconomic Instability And Fiscal Decentralization: An Empirical
  Analysis",Room 3,econ.GN
5647,The isoperimetric problem for Holderian curves,Room 5,math.OC
5648,Fast sampling in a linear-Gaussian inverse problem,Room 1,stat.CO
5649,"Cross-border cannibalization: Spillover effects of wind and solar energy
  on interconnected European electricity markets",Room 4,econ.EM
5650,"Forward-looking portfolio selection with multivariate non-Gaussian
  models and the Esscher transform",Room 3,q-fin.PM
5651,"A Markov model of a limit order book: thresholds, recurrence, and
  trading strategies",Room 3,q-fin.TR
5652,A Simple Transition-Free Lattice of an 8 Gev Proton Synchrotron,Room 11,physics.acc-ph
5653,Flatness-based pre-compensation of laser diodes,Room 8,math.OC
5654,Suction effects in deep Boom clay block samples,Room 11,physics.geo-ph
5655,"Extracting possibly representative COVID-19 Biomarkers from X-Ray images
  with Deep Learning approach and image data related to Pulmonary Diseases",Room 2,eess.IV
5656,Uppers to zero and semistar operations in polynomial rings,Room 7,math.AC
5657,"Subjective Questions and Answers for a Mathematics Instructor of Higher
  Education",Room 5,math.GM
5658,"Stochastic nonlinear model for somatic cell population dynamics during
  ovarian follicle activation",Room 6,q-bio.CB
5659,"Understanding the behavioural difference of PPCA among its homologs in
  C7 family towards recognition of DXCA",Room 8,q-bio.BM
5660,Principled Design and Implementation of Steerable Detectors,Room 2,eess.IV
5661,Positively Homogeneous Saddle-Functions and Euler's Theorem in Games,Room 5,econ.TH
5662,Spreading of energy in the Ding-Dong Model,Room 8,nlin.CD
5663,A simple model for the population dynamics in OTC wholesale fresh product markets,Room 4,econ.TH
5664,"Bio-Development of Motorway Networks in the Netherlands: A Slime Mould
  Approach",Room 6,nlin.AO
5665,"Online Appendix & Additional Results for The Determinants of Social
  Connectedness in Europe",Room 4,econ.GN
5666,Dark parameterization approach to Ito equation,Room 12,nlin.SI
5667,From Polygons to Ultradiscrete Painlev\'e Equations,Room 7,nlin.SI
5668,"Demonstrating the Usefulness of CAELinux for Computer Aided Engineering
  using an Example of the Three Dimensional Reconstruction of a Pig Liver",Room 2,cs.MS
5669,"Two Theorems on the structure of Pythagorean triples and some
  diophantine consequences",Room 12,math.GM
5670,Localisation and colocalisation of KK-theory at sets of primes,Room 7,math.KT
5671,"A Multiagent Simulation for Traffic Flow Management with Evolutionary
  Optimization",Room 10,cs.MA
5672,Multisoliton solutions to the lattice Boussinesq equation,Room 5,nlin.SI
5673,Multidimensional dynamic risk measure via conditional g-expectation,Room 3,q-fin.RM
5674,Inverse Scattering Transform and the Theory of Solitons,Room 5,nlin.SI
5675,An Objective Measure of Quality for Time-Scale Modification of Audio,Room 2,eess.AS
5676,Identification of Dementia Using Audio Biomarkers,Room 2,eess.AS
5677,"Ninomiya-Victoir scheme: strong convergence, antithetic version and
  application to multilevel estimators",Room 1,q-fin.CP
5678,Simple Communication,Room 4,econ.TH
5679,The Limits of Limited Commitment,Room 4,econ.TH
5680,Telling time with an intrinsically noisy clock,Room 6,q-bio.MN
5681,The Sigma - D relation for planetary nebulae,Room 12,astro-ph.SR
5682,Simulation of Free Surface Compressible Flows Via a Two Fluid Model,Room 8,physics.comp-ph
5683,Multifractality and scale invariance in human heartbeat dynamics,Room 6,nlin.CD
5684,"Indicators of availability of non-market relations in the sphere of
  labor market in Ukraine",Room 3,q-fin.EC
5685,Pricing and hedging American-style options with deep learning,Room 3,q-fin.CP
5686,"An Active Margin System and its Application in Chinese Margin Lending
  Market",Room 3,q-fin.RM
5687,On the Importance of Opponent Modeling in Auction Markets,Room 3,q-fin.CP
5688,"Reoccurring patterns in hierarchical protein materials and music: The
  power of analogies",Room 6,q-bio.BM
5689,"Joint segmentation of multivariate time series with hidden process
  regression for human activity recognition",Room 1,stat.ML
5690,"An information-based traffic control in a public conveyance system:
  reduced clustering and enhanced efficiency",Room 10,physics.soc-ph
5691,A theoretical analysis of Guyon's toy volatility model,Room 12,q-fin.PR
5692,"Dynamical transitions between equilibria in a dissipative Klein-Gordon
  lattice",Room 5,nlin.PS
5693,Discrepancy bounds for uniformly ergodic Markov chain quasi-Monte Carlo,Room 3,stat.CO
5694,Asymmetric Di-jet Production in Polarized Hadronic Collisions,Room 5,hep-ph
5695,"Who Gave you the Cauchy-Weierstrass Tale? The Dual History of Rigorous
  Calculus",Room 5,math.HO
5696,Matrix eQTL: Ultra fast eQTL analysis via large matrix operations,Room 2,q-bio.GN
5697,"Kolmogorov turbulence, Anderson localization and KAM integrability",Room 12,nlin.CD
5698,The ELAPS Framework: Experimental Linear Algebra Performance Studies,Room 10,cs.PF
5699,The Hess-Appelrot system and its nonholonomic analogs,Room 5,nlin.SI
5700,On integrability of variable coefficient nonlinear Schrodinger equations,Room 5,nlin.SI
5701,Identifying short motifs by means of extreme value analysis,Room 6,q-bio.GN
5702,"The method of Enestr\""om and Phragm\'en for parliamentary elections by
  means of approval voting",Room 4,econ.TH
5703,Transient and Equilibrium Synchronization in Complex Neuronal Networks,Room 6,q-bio.NC
5704,Demand allocation with latency cost functions,Room 10,cs.DM
5705,"Effect of age on the variability and stability of gait: a
  cross-sectional treadmill study in healthy individuals between 20 and 69
  years of age",Room 1,q-bio.NC
5706,"Bayesian nonparametric Plackett-Luce models for the analysis of
  preferences for college degree programmes",Room 1,stat.ML
5707,Prejudiced Futures? Algorithmic Bias in Time Series Forecasting and Its Ethical Implications,Room 4,econ.EM
5708,Audio-Visual Speech Inpainting with Deep Learning,Room 2,eess.AS
5709,Multilingual and Multimode Phone Recognition System for Indian Languages,Room 2,eess.AS
5710,New insights on the Dynamic Cellular Metabolism,Room 6,q-bio.SC
5711,"On the statistics of the minimal solution of a linear Diophantine
  equation and uniform distribution of the real part of orbits in hyperbolic
  spaces",Room 12,math.NT
5712,Remarks on polynomial parametrization of sets of integer points,Room 5,math.NT
5713,Decision Trees for Complexity Reduction in Video Compression,Room 2,eess.IV
5714,"The braid groups of the projective plane and the Fadell-Neuwirth short
  exact sequence",Room 7,math.GT
5715,Error-speed correlations in biopolymer synthesis,Room 6,q-bio.SC
5716,"Task-Priority Control of Redundant Robotic Systems using Control
  Lyapunov and Control Barrier Function based Quadratic Programs",Room 10,eess.SY
5717,"Systemic Risk in a Unifying Framework for Cascading Processes on
  Networks",Room 4,q-fin.RM
